syncd_3417592,python3_3417768,rest_server_3417538,bgpd_3417615,dockerd_2014681,redis-server_2014895,dialout_client__3417755,telemetry_3417691,docker_2015153,zebra_3417496,Time
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:07:01 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:07:28 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:07:53 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:08:14 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:08:37 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:08:59 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:09:23 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:09:51 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:10:15 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:10:44 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:11:10 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:11:32 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:12:02 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:12:34 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:13:01 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:13:38 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:14:02 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:14:27 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:14:50 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:15:14 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:15:38 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:16:02 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:16:27 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:16:53 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:17:20 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:17:44 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:18:07 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:18:30 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:18:52 AM UTC
13.7,3.4,3.1,2.9,2.2,1.5,1.5,1.4,1.4,1.4,Wed 30 Nov 2022 01:19:13 AM UTC
